"Местное время в Леприндо";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"08.12.2017 09:00";"-14.3";"666.4";"759.2";"";"85";"Ветер, дующий с западо-юго-запада";"5";"";"11";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-16.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"";"-16.3";"0.2";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0"
"08.12.2017 03:00";"-15.6";"667.5";"760.8";"";"84";"Ветер, дующий с запада";"6";"11";"14";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-17.7";"";"";"";"";"";""
"07.12.2017 21:00";"-15.3";"667.2";"768.5";"";"69";"Ветер, дующий с запада";"5";"10";"12";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-14.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-19.7";"0.2";"12";"";"";"";""
"07.12.2017 15:00";"-14.8";"667.0";"760.1";"";"76";"Ветер, дующий с западо-юго-запада";"4";"";"10";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"10.0";"-18.2";"";"";"";"";"";""
"07.12.2017 03:00";"-32.3";"674.5";"775.2";"";"90";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"";"-33.4";"";"";"";"";"";""
"06.12.2017 21:00";"-32.7";"675.4";"777.4";"";"74";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-21.0";"";"";"";"";"";"";"-35.8";"Осадков нет";"12";"";"";"";""
"06.12.2017 15:00";"-22.6";"673.8";"771.0";"";"70";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-26.6";"";"";"";"";"";""
"06.12.2017 09:00";"-32.7";"672.1";"773.4";"";"69";"Ветер, дующий с западо-юго-запада";"2";"";"";"60%.";" ";"";"";"-35.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"";"-36.5";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0"
"06.12.2017 03:00";"-34.6";"669.4";"771.2";"";"75";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-37.4";"";"";"";"";"";""
"05.12.2017 21:00";"-34.2";"668.8";"770.3";"";"70";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"-24.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-37.8";"Осадков нет";"12";"";"";"";""
"05.12.2017 15:00";"-25.8";"667.8";"765.4";"";"65";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-30.5";"";"";"";"";"";""
"05.12.2017 09:00";"-35.4";"668.4";"770.3";"";"74";"Ветер, дующий с западо-северо-запада";"1";"";"";"20–30%.";" ";"";"";"-35.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-38.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"8.0"
"05.12.2017 03:00";"-35.3";"669.2";"771.1";"";"73";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-38.4";"";"";"";"";"";""
"04.12.2017 21:00";"-24.3";"670.5";"772.3";"";"78";"Ветер, дующий с северо-северо-запада";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"-24.3";"";"";"2500 или более, или облаков нет.";"";"";"";"-27.1";"Осадков нет";"12";"";"";"";""
"04.12.2017 15:00";"-27.4";"671.9";"770.9";"";"65";"Ветер, дующий с востока";"3";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-32.0";"";"";"";"";"";""
"04.12.2017 09:00";"-31.1";"672.7";"773.5";"";"70";"Ветер, дующий с востоко-северо-востока";"3";"";"";"70 – 80%.";" ";"";"";"-31.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"";"-34.8";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0"
"04.12.2017 03:00";"-27.9";"673.7";"773.2";"";"60";"Ветер, дующий с юга";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-33.3";"";"";"";"";"";""
"03.12.2017 21:00";"-27.8";"674.6";"774.1";"";"54";"Ветер, дующий с западо-юго-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"-26.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"";"-34.2";"Осадков нет";"12";"";"";"";""
"03.12.2017 15:00";"-27.2";"674.0";"773.2";"";"54";"Ветер, дующий с запада";"4";"";"10";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-33.6";"";"";"";"";"";""
"03.12.2017 09:00";"-27.0";"673.2";"772.2";"";"55";"Ветер, дующий с юго-запада";"3";"";"10";"90  или более, но не 100%";" ";"";"";"-33.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.";"";"-33.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0"
"03.12.2017 03:00";"-29.8";"673.4";"773.7";"";"75";"Ветер, дующий с запада";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-32.8";"";"";"";"";"";""
"02.12.2017 21:00";"-31.3";"673.3";"774.3";"";"80";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"-26.1";"";"";"";"";"";"";"-33.6";"Осадков нет";"12";"";"";"";""
"02.12.2017 15:00";"-26.2";"672.3";"770.8";"";"70";"Ветер, дующий с юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.";"50.0";"-30.1";"";"";"";"";"";""
"02.12.2017 09:00";"-36.1";"671.7";"774.6";"";"79";"Ветер, дующий с востоко-северо-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-38.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0"
"02.12.2017 03:00";"-35.8";"671.1";"773.7";"";"74";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-38.7";"";"";"";"";"";""
"01.12.2017 15:00";"-28.2";"669.9";"768.9";"";"75";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-31.3";"";"";"";"";"";""
"01.12.2017 09:00";"-35.6";"670.8";"773.2";"";"71";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"-35.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-39.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0"
"01.12.2017 03:00";"-30.4";"671.8";"772.0";"";"70";"Ветер, дующий с востоко-северо-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.";"";"-34.1";"";"";"";"";"";""
"30.11.2017 21:00";"-31.9";"672.8";"773.9";"";"74";"Ветер, дующий с востоко-северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"-26.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-35.0";"Осадков нет";"12";"";"";"";""
"30.11.2017 15:00";"-29.0";"673.0";"772.8";"";"70";"Ветер, дующий с северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.";"50.0";"-32.8";"";"";"";"";"";""
"30.11.2017 03:00";"-32.1";"674.3";"775.7";"";"70";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-35.7";"";"";"";"";"";""
"29.11.2017 21:00";"-30.9";"676.3";"777.5";"";"65";"Ветер, дующий с северо-северо-востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-35.3";"Осадков нет";"12";"";"";"";""
"29.11.2017 15:00";"-26.4";"676.8";"776.0";"";"60";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-слоистые, покрывающие все небо.";"50.0";"-31.9";"";"";"";"";"";""
"29.11.2017 09:00";"-32.6";"677.5";"779.5";"";"67";"Ветер, дующий с востоко-северо-востока";"2";"";"";"60%.";" ";"";"";"-33.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"20.0";"-36.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0"
"29.11.2017 03:00";"-29.8";"677.6";"778.4";"";"60";"Ветер, дующий с западо-юго-запада";"3";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-35.1";"";"";"";"";"";""
"28.11.2017 21:00";"-30.0";"677.9";"778.9";"";"70";"Ветер, дующий с западо-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"-28.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.";"";"-33.7";"Осадков нет";"12";"";"";"";""
"28.11.2017 15:00";"-28.8";"676.9";"777.3";"";"64";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-33.4";"";"";"";"";"";""
"28.11.2017 09:00";"-30.6";"676.0";"776.9";"";"69";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"1500-2000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-34.4";"0.4";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0"
"28.11.2017 03:00";"-28.4";"673.8";"773.4";"";"75";"Ветер, дующий с юга";"1";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-31.5";"";"";"";"";"";""
"27.11.2017 15:00";"-19.2";"665.4";"760.0";"";"50";"Ветер, дующий с западо-северо-запада";"5";"";"10";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"1000-1500";"Высокослоистые просвечивающие.";"";"50.0";"-27.0";"";"";"";"";"";""
"27.11.2017 09:00";"-22.6";"660.8";"756.1";"";"80";"Ветер, дующий с северо-востока";"3";"";"12";"70 – 80%.";"Облака в целом образовывались или развивались. ";"Метель";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-33.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-25.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0"
"27.11.2017 03:00";"-20.3";"657.8";"751.8";"";"75";"Ветер, дующий с запада";"6";"11";"";"20–30%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-23.6";"";"";"";"";"";""
"26.11.2017 09:00";"-20.5";"659.3";"753.6";"";"80";"Ветер, дующий с запада";"8";"12";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-26.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-23.1";"0.2";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"21.0"
"25.11.2017 21:00";"-26.0";"670.7";"768.9";"";"55";"Ветер, дующий с запада";"5";"";"11";"Облаков нет.";" ";"";"";"";"-24.4";"";"";"";"";"";"";"-32.4";"Осадков нет";"12";"";"";"";""
"25.11.2017 15:00";"-24.5";"670.2";"767.7";"";"60";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.";"50.0";"-30.1";"";"";"";"";"";""
"25.11.2017 09:00";"-30.8";"669.7";"768.7";"";"79";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"-34.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-33.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"21.0"
"24.11.2017 21:00";"-31.9";"671.2";"772.0";"";"74";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"";"-22.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-35.0";"Осадков нет";"12";"";"";"";""
"24.11.2017 15:00";"-22.8";"670.9";"767.9";"";"60";"Ветер, дующий с востока";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-28.5";"";"";"";"";"";""
"24.11.2017 09:00";"-31.5";"671.8";"772.6";"";"79";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-32.4";"";"";"";"";"";"";"20.0";"-33.9";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"21.0"
"23.11.2017 21:00";"-26.8";"673.0";"771.8";"";"74";"Ветер, дующий с востока";"1";"";"";"40%.";" ";"";"";"";"-21.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-30.0";"Осадков нет";"12";"";"";"";""
"23.11.2017 15:00";"-21.3";"672.4";"768.8";"";"60";"Ветер, дующий с востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-27.0";"";"";"";"";"";""
"23.11.2017 09:00";"-25.1";"672.6";"770.7";"";"70";"Ветер, дующий с западо-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"-25.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-29.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"21.0"
"23.11.2017 03:00";"-24.5";"671.4";"769.0";"";"75";"Ветер, дующий с запада";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-27.7";"";"";"";"";"";""
"22.11.2017 21:00";"-20.7";"670.1";"766.0";"";"60";"Ветер, дующий с северо-запада";"4";"";"14";"100%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-19.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"";"-26.4";"Осадков нет";"12";"";"";"";""
